Path	Description	Genes
Vitamin D Receptor Pathway	The vitamin D receptor (VDR, a.k.a. NR1I1) is a nuclear receptor that responds to binding of vitamin D and subsequently forms a dimer with RXR to induce transcription of its target genes. It mainly regulates genes cytochrome P450 genes involved in xenobiotic biotransformation.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP2877 CPTAC Assay Portal].	ID4,ORM2,THBD,CD97,SATB1,LGALS9,S100A9,Klotho gene,CDKAL1,CLDN2,KRTAP10-4,CA9,ASAP2,IRF5,TRPV6,TPM1,CYP3A4,CASP14,STAM,TIMP3,ADRA1B,CLMN,TNFSF4,ABC A11,MX2,DACT2,KRTAP10-7,CLEC16A,TRAK1,Il1rL1,CD40,DNER,KRTAP4,DEFB4,CST1,TNFRSF11B,ALP1,LCE-1D,IL12A,CYP7A1,MEG8,CYP2B6,NRIP1,STEAP4,CASP5,G6PD,CDC34,ATP2B1,SEMA3B,MYO9B,VDR,CCND1,SALL4,KRT34,CD9,PTHrP,PTH,CTLA4,ITGAM,HLA-DQA1,SerpinB1,CDKN1A,CEACEM1,ZNF257,S100G,CST6,S100A8,CCNE1,CYP1A1,MED9,LPGAT1,SLC2A4,SFRP1,STS,PRKCQ,DUSP10,KRTAP12-2,BTLA,ABC B1,CYP2S1,CDKN2B,EPHB4,SOSTDC1,KRTAP10-9,KRTAP5-4,KRTAP5-1,BCL6,CYP2D6,LRRC25,TGFB1,EFCAB4B,Col13A1,DEFB132,KRT16,ID1,TNFSF11,CDKN1B,EFCAB4A,SULT1C2,PPARD,KRT38,CYP2C9,LCE-1F,TIMP2,CYP24A1,PTGER4,IRF8,SPRR1B,KLK6,S100A6,NINJ1,CALB1,ALOX5,ADAMTS5,IGFBP5,ALPPL2,IGFBP1,SLC37A2,GADD45A,TREM1,KRT13,IGSF9B,SLC8A1,FOXO1,BMP6,S100A2,IRF4,CDKN2A,RASGRP1,CD200,CYP3A5,CDKN2C,NFATC2,Camp,PRDM1,LLRC8A,COLEC11,ATP2C2,LRP5,CCNC,PNOC,KRTAP8-1,HNF1A,HLA-DRB1,CREG2,KNG1,HSD17B2,CD14,SULT2A1,TGFB2,KRT71,KRTAP10-2,SLC34A2,GLT8D4,CDX-2,EFNA5,MYC,BGLAP,KLF4,ADRB2,TRPV5,HILPDA,HIF1A,DND1,TNFAIP3,CDK2,BDKRB1,CLPTM1L,CEPBA,DEFB109,SPP1,IGFBP3,IL25,ABC D1,RXRA,CBS,CYP27B1,LCE-2B,FGF23,JUNB,G0S2,CDKN2D,S100A4,ORM1,MXD1,NOX1
Physiological and Pathological Hypertrophy  of the Heart	Pathways in physiological and pathological hypertrophy of the heart. Largely based on the article from [https://www.ncbi.nlm.nih.gov/pubmed/11714087 Wang et al, 'Signal transduction in cardiac hypertrophy--dissecting compensatory versus pathological pathways utilizing a transgenic approach.]Hypertrohpy of the heart can be a physiological compensation for exercise, but it can also be a pathological compensation for hypertension and stress.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1528 CPTAC Assay Portal]	p38b,p38a,ET-1,PKCb,JNK,MEF-2,Ang II,CTF1,erk,FOS,STAT3,MKK3,C-JUN,CalNB,CalNA,RhoA,CamK,p38,LIFR,gp130,GATA-4,Rac1,PKCE,NFAT3
Pancreatic adenocarcinoma pathway	Infiltrating ductal adenocarcinoma is the most common malignancy of the pancreas. When most investigators use the term 'pancreatic cancer' they are referring to pancreatic ductal adenocarcinoma (PDA). Normal duct epithelium progresses to infiltrating cancer through a series of histologically defined precursors, Pancreatic Intraepithelial Neoplasia (PanINs: https://pathology.jhu.edu/pancreas/professionals/DuctLesions.php). The overexpression of HER-2/neu (ERBB2) and activating point mutations in the K-ras gene occur early, inactivation of the p16 gene (CDKN2A) at an intermediate stage, and the inactivation of p53, SMAD4, and BRCA2 occur relatively late. Activated K-ras engages multiple effector pathways. Although EGF receptors are conventionally regarded as upstream activators of RAS proteins, they can also act as RAS signal transducers via RAS-induced autocrine activation of the EGFR family ligands. Moreover, PDA shows extensive genomic instability and aneuploidy. Telomere attrition and mutations in p53 and BRCA2 are likely to contribute to these phenotypes. Inactivation of the SMAD4 tumor suppressor gene leads to loss of the inhibitory influence of the transforming growth factor-beta signaling pathway.The progression of disease and associated mutations is defined based on the arrow at the top, from left to right.	NFKB1,AKT2,CDC42,VEGFA,PIK3CA,PIK3R1,KRAS,GADD45A,TGFBR1,GADD45G,ARHGEF6,CASP9,E2F2,MAPK3,TP53,BAX,E2F3,IKBKB,CDKN2A,MAPK1,DDB2,PIK3R3,EGF,IKBKG,AKT3,CDK6,RAF1,TGFB3,PEBP1,SMAD2,AKT1,PAK1,ARAF,RALA,PAK3,RHOA,TIAM1,MAP2K1,PIK3R2,RELA,RIPK4,BAK1,TGFB2,MAP2K2,ERBB2,GADD45B,MTOR,JAK1,TGFBR2,CHUK,RAD51,CDK4,RALB,BRAF,PIK3CB,POLK,PIK3CD,E2F1,MAPK9,PAK4,RB1,PAK6,PAK5,CCND1,RAC2,BUB1B-PAK6,BAD,STAT1,BCL2L1,PAK2,RPS6KB2,RPS6KB1,MAPK10,RAC3,DUSP6,CDKN1A,TGFB1,SMAD4,RALBP1,RALGDS,BRCA2,RAC1,SMAD3,PRKCD,MAPK8,PLD1,TGFA,STAT3,EGFR
Glycerophospholipid Biosynthetic Pathway	Glycerophospholipids or phosphoglycerides, in which the hydrophobic regions are composed of two fatty acids joined to glycerol; and sphingolipids, in which a single fatty acid is joined to a fatty amine, sphingosine, are glycerol-based phospholipids and the main component of biological membranes. The hydrophilic moieties in these amphipathic compounds may be as a simple as a single -OH at one end of the sterol ring system, or they may be more complex. Glycerophospholipds, as well as sphingolipids, contained polar or charged alcohols at their polar ends; some also contain phosphate groups.In glycerophospholipids, two fatty acids are ester-linked to glycerol at C-1 and C-2, and a highly polar or charged (and therefore hydrophilic) head group is attached to C-3 through a phosphodiester bond. All glycerophospholipds are derivatives of phosphatidic acid and are named for their polar head groups (e.g., phosphatidylethanolamine and phosphatidylcholine). All have a negative charge on the phosphate group at pH 7.0. The head-goup alcohol may also contribute one or more charges at pH near 7.0. The fatty acids in glycerophospholipds can be any of a wide variety. They are different in different species, in different tissues of the same species, and in different types of glycerophospholipids in the same cell or tissue. In general, glycerophospholipids contain a saturated fatty acid at C-1 and an unsaturated fatty acid at C-2, and, in general terms, the fatty acyl groups are generally 16 or 18 carbons long.Eukaryotic membranes contain significant amounts of two other types of glycerophospholipids: Plasmalogens and Alkylacylglycerophospholipids. Plasmalogens contain a hydrocarbon chain linked to glycerol C-1 via vinyl ether linkage whereas alkylacylglycerophospholipids the alkyl substituent at glycerol C-1 is attached via an ether linkage. About 20% of mammalian glycerophospholipids are plasmalogens, this percentage varies both from species to species and from tissue to tissue within a given organism. While plasmalogens comprise only about 0.8% of the phospholipids in human liver, they account for around 23% of those in human nervous tissue. The alkylacylglycerophospholipids are less abundant than the plasmalogens, e.g., about 59% of ethanolamine glycerophospholipids of human heart are plasmalogens, whereas only 3.6% are alkylacylglycerophospholipids. However, in bovine erythrocytes, 75% of the ethanolamine glycerophospholipids are of alkylacyl type.	
Intraflagellar transport proteins binding to dynein	Intraflagellar transport proteins (IFT) binding to dynein 1 and dynein 2	IFT43,DYNLL2,DYNC1H1,DYNLRB2,WDR19,DYNLT1,DYNLRB1,DYNLL1,IFT122,IFT81,IFT46,TCTEX1D2,IFT140,WDR34,DYNC1I2,DYNC2LI1,DYNC1LI1,WDR35,IFT27,DYNC1LI2,DYNC2H1,DYNLT3,DYNC1I1,WDR60,HSPB11,IFT22,IFT80
Nucleotide GPCRs		P2RY5,ADORA1,ADORA2B,GPR23,P2RY2,ADORA3,P2RY6,ADORA2A,P2RY1,LTB4R,P2RY4
GPCRs, Class A Rhodopsin-like	This pathway was created using the GPCRDB (Horn et al., 1998), http://www.gpcr.org/7tm/ (originally at http://www.cmbi.kun.nl/7tm/). The groupings are based on the GPCR phylogenetic tree available from the GPCRDB and the training sets used by Karchin et al. (Bioinformatics, 2002, pg. 147-159). The labels indicate children and grandchildren of the various classes of GPCRs as described by these references.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP455 CPTAC Assay Portal]	GHSR,HCRTR2,GPR19,OR2W1,P2RY1,GPR43,OR2A4,ADORA3,HCRTR1,HTR2A,PTAFR,GPR171,HTR5A,GPR147,OR2C1,HTR4,OPN4,GPR25,ADRA1A,OR2S2,PTGER4,SSTR5,CHRM4,GPR1,OR1C1,NPY2R,NPY6R,P2RY6,GALR1,F2RL2,GPR42,IL8RA,GPR37,GPR65,SSTR2,P2RY5,GPR3,AVPR2,EDNRB,OR2J1,CNR1,OR7C2,GPR34,GPR92,PTGFR,PTGER2,OR2T1,OR7A17,ADRB2,OR2J2,HTR6,ADORA1,GPR17,GALR3,PTGER1,CCR8,BDKRB1,P2RY4,LHCGR,OR3A4,GPR6,OR2H2,HTR2C,OR5U1,OPN1LW,CHRM1,CCRL2,MTNR1A,GPR50,CCR7,OR1D2,HRH3,GPR83,GALR2,OR5I1,P2RY13,GPR20,OR3A2,CCR3,HTR1F,OR10A5,GRPR,NTSR2,AGTRL1,OPRL1,GPR24,MLNR,NPY5R,GPR68,OR1E2,GPR44,HTR1D,SSTR4,GPR39,BDKRB2,NMUR1,OR1D5,MC4R,CYSLTR1,AVPR1B,OR1F1,BRS3,PPYR1,CCKAR,IL8RB,ADORA2A,CCR1,ADRA1D,OR2N1P,P2RY11,GPR35,GPR10,MAS1L,OR10J1,CMKOR1,OR10A4,AVPR1A,OR2F2,ADRB3,OR1A1,DRD2,MTNR1B,OPRM1,OR10H2,OR7A10,MC2R,F2RL3,DRD5,GPR12,CNR2,GPR18,CXCR3,OPN3,OPN1MW,HTR1E,CHRM2,Q9UDD9,FSHR,GPR40,LTB4R,MAS1,GPR77,NTSR1,NMBR,ADRB1,GPR174,OR8D2,OR1I1,GPR41,FPRL1,GPR52,OR8B8,GPR85,GPR22,OPRD1,XCR1,PTGDR,CHRM3,DRD1,SUCNR1,HRH1,OR1Q1,F2R,NPY1R,FPR1,OPN1SW,OR2B2,OR2D2,CCR2,GPR27,GPR75,MC5R,GPR81,HRH2,ADRA2C,MC1R,F2RL1,GPR109B,CCR10,C3AR1,P2RY2,GPR161,ADRA2B,GPR87,HTR2B,CXCR4,HTR7,CCR9,CCR4,OR1G1,GPR4,OR1D4,P2RY10,CCBP2,AGTR2,CX3CR1,OR1A2,CMKLR1,OPRK1,P2RY14,OR3A1,TRHR,RRH,DRD3,GPR21,HTR1A,PTGER3,GPR173,ADRA1B,OR3A3,CCR5,AGTR1,DRD4,GPR23,OR1E1,CYSLTR2,OR7C1,GPR7,SSTR3,GPR63,GPR30,CHRM5,OR2H1,OR7A5,CCR6,BLR1,CCKBR,HTR1B,OR10H3,FPRL2,OR2F1,OR2B3,OR5V1,EDNRA,OR2AG1,OR6A2,CCRL1,NMUR2,GPR45,SSTR1,OXTR,GPR15,OR2J3,OR2B6,OR12D3,OR6B1,GPR32,MC3R,GPR74,GPR37L1,PTGIR,OR5F1,Rgr,TBXA2R,GPR8,OR11A1,OR10H1,ADRA2A,ADORA2B,P2RY12,RHO,GPR31
Biotin Metabolism (including IEMs)	An important cofactor for carboxylation reaction is the vitamin Biotin. Four carboxylase groups (ACC, MCC, PCC and PC) are activated by binding to biotin and forming holocarboxylases, which in turn are responsible for several metabolic conversion in the Fatty Acid Synthesis, Leucine catabolism, propanoate metabolism and gluconeogenesis. Except for the ACC conversion from acetyl-CoA to malonyl-CoA starting the fatty acid synthesis, all other three interactions are connected to disorders. Furthermore, one can distinguish two "multiple carboxylase defects" (MCDs), which are connected to the conversion of biocytin into biotin (BTD), or unbound biotin to one of the apocarboxylases (HCSD)This pathway was inspired by Chapter 14 (edition 4) of the book of Blau (ISBN 3642403360 (978-3642403361)).	
miR-509-3p alteration of YAP1/ECM axis	Summary of findings for miR-509-3p and the YAP1/ECM axis. Reference: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5041955/Collectively, the results suggest that miR-509-3p-mediated changes in levels of YAP1 and ECM genes impair migration, invasion, and spheroid formation and so may attenuate metastatic progression in advanced stage ovarian cancer. Further, results suggest that the direct downstream miR-509-3p target YAP1 is likely a critical driver of cellular migration and spheroid formation in ovarian cancers in which levels of YAP1 protein are high. Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP3967 CPTAC Assay Portal].	PBX3,TEAD1,EDNRA,FN1,GPC6,COL1A1,THBS2,SPARC,TEAD2,YAP1,TEAD4,BCAR1,COL5A1,TEAD3,MIR509-3,COL3A1,TWIST1,SNAI2
Transcription co-factors SKI and SKIL protein partners	Several proteins are partners of SKI and / or SKIL. The interacting domains are often not identified.	TEAD1,LATS2,MECP2,HDAC1,Sav,TEAD2,TEAD4,ING2,SKI,NF1,STK3,LATS1,SATB2,SKIL,MERTK,TEAD3,Mob,HDAC3,SIN3A,PRMT5
Metabolism of Dichloroethylene by CYP450	This pathway describes the metabolism of dichloroethylene by Cytochrome P450 enzymes. Source: [http://www.kegg.jp/pathway/ko00980 KEGG Metabolism of xenobiotics by cytochrome P450].	CYP2E1
The alternative pathway of fetal androgen synthesis	The development of sexual organs in humans is still not completely understood at the molecular level, controlled through the chromosomal difference between men and women. Steroids related to sexual development can have a temporary or permanent effects. Androgens are the leading compounds differentiating between (among other sexual organs) the internal and external genitalia of menNext to the classical pathway of androgen synthesis (see [https://www.wikipathways.org/index.php/Pathway:WP4523]), alternative pathways are known, which make use of either selective expression patterns of isoenzymes or alternate enzymes. As an alternative, a socalled 'backdoor pathway', which can create dihydrotestosterone (DHT), skipping testosterone. Several enzymes between the classical and backdoor pathway are shared, however the later one utilises one unique enzyme, 3-alpha hydroxysteroid dehydrogenase 3 (gene: AKR1C2). Even though the relevance of this backdoor pathway for humans is not completely clear yet, mutations in the human AKR1C2 gene can lead to disordered sexual differentiation. This finding would indicate that both the classical and the alternative pathway are needed for normal development of male genitalia in humansFor more information on androgens, see Hiort (2013 [https://www.ncbi.nlm.nih.gov/pubmed/23800242]), and for more information on the disease linked to this pathway, please visit Chapter 37 of the book of Blau (ISBN 3642403360 (978-3642403361)).	17-beta-HSD,AKR1C4,3-beta-HSD,AKR1C2/4,P450scc,P450c17,5-alpha-reductase 1,17-beta-HSD3,STAR
Extracellular vesicles in the crosstalk of cardiac cells	(A) FB-derived exosomes enriched with miR-21-3p or Spp1 and EGFR proteins are transferred to CMs, leading to CM hypertrophy. (B) EVs secreted from CMs or MSCs, as well as circulating EVs exert regulatory effects on CM apoptosis. (C) CM-derived exosomal HSP90 together with secreted IL-6 are able to activate STAT-3 signaling in cardiac FBs, leading to cardiac fibrosis; whereas CM-derived exosomes from exercised diabetic mice express high levels of miR-29b and miR-455, thus reducing cardiac fibrosis. (D) EVs secreted from CMs or MSCs are transferred to ECs, exerting pro- or anti-angiogenic activities.Description from Bei et al.	PDLIM5,EGFR,CD81,STAT3,HSP20,mir-29b1,TLR4,SORBS2,IGF1,CD63,mir-19a,IL6,MIR320A,FGF,ETS2,HSP70,GATA4,PTEN,VEGFR2,mir21-3p,BIRC5,HSP90,HSPB1,MIR455,EGF,PDGF,MMP9,SPP1,SOD1,p-Akt,mir-29b2
Unfolded protein response	The Unfolded Protein Response (UPR) pathway regulates and protects the cell from improperly folded protein overload in the Endoplasmic Reticulum (ER). The UPR can result in the slowing of protein synthesis, which gives the cell time to translate more chaperones to help process the proteins. If the stress is too high, the UPR can eventually trigger apoptosis.	MBTPS1,RTCB,GADD35,CHOP,MBTPS2,TXNIP,IL1B,p53,XBP1,BiP,BCL2,NFE2L2,IRE1α,ATF4,PMAIP1,PERK,EIF2S1,BBC3,TNFRSF10B,ATF6,BCL2L11,BID
Interactions between immune cells and microRNAs in tumor microenvironment	The interplay between immune cells and microRNAs in the tumor microenvironment (TME). MRX34 and MRG‐106 (cobomarsen) are miRNA therapeutic agentsAdapted from figure 1 in [https://www.ncbi.nlm.nih.gov/pubmed/30578699 Cortez et al].	CD86,IL2RB,CTLA4,IL2RG,TRAF6,TGFB3,TLR8,MHC,IL4R,IL2RA,CD274,MIR203A,MIR29A,SOCS1,TRA,STAT3,CCL5,IL4,NFKB2,CXCL10,TLR7,PIAS3,MIR200A,TGFB1,CD80,MIR212,MIR203B,TGFBR2,MIR214,TRB,MIRLET7D,MIR34A,PDCD1,MIR23A,MIR21,TGFB2,NFKB1,MIR146A,MIR200B,MIR24-2,MIR200C,TLR4,STAT6,CCL2,MIR24-1,MIR138-1,IRAK4,MIR27A,MIR138-2,MIR210
Striated Muscle Contraction Pathway	Muscle contraction is the process where muscle tissue is activated by a signal from the nervous system. In case of voluntary action the nervous signals are initiated from the brain by so called action potentials. With reflexes these potentials are coming directly from the spinal cord. Striated muscles are a group of muscles also called skeletal and cardiac muscle tissue. Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP383 CPTAC Assay Portal].	MYH6,MYL3,DMD,ACTG1,MYBPC2,TNNT1,DES,TNNI3,ACTA1,TNNC2,ACTA2,TPM3,MYL4,MYL9,MYBPC3,TPM2,ACTC,TNNC1,MYL1,TNNI1,TMOD1,MYOM1,ACTN3,TNNT3,VIM,NEB,TTN,MYL2,TNNI2,ACTN4,MYH3,MYBPC1,TPM4,TPM1,ACTN2,TNNT2,TCAP,MYH8
Proteoglycan biosynthesis	PG synthesis is a complex mechanism that can be divided in four main steps. Core protein synthesis occurs in the rough endoplasmic reticulum (RER). Once PG core protein has been synthesized, it moves from the RER to the Golgi apparatus where the first sugar of glycosaminoalycan (GAG) chain is added on Ser residues. GAG synthesis continues by glycosyltransferases that transfer sugar moieties from UDP-sugars to GAG chains. UDP-sugars are synthesized in the cytoplasm and are translocated in the Golgi apparatus by an antiporter with UMP. Then UDP, the by-product of glycosyltransferase reactions, is hydrolyzed to UMP and phosphate by calcium activated nucleotidase 1 (CANT1). Chondroitin, dermatan and heparan sulfate synthesis starts on a Ser residue of the PG core protein with the formation of a tetrasaccharide linkage region composed of a xylose (Xyl), two galactoses (Gal) and a glucuronic acid (GlcUA). After tetrasaccharide synthesis, GAG chain elongation continues through the binding of specific saccharides defining chondroitin sulfate, dermatan sulfate and heparan sulfate. Specific enzymes are involved in this process and mutations in their gene cause different types of skeletal dysplasia (indicated in red boxes). The third step is GAG sulfation.  Sulfate enters in cells through the SLC26A2 transporter and it is activated to 30-phosphoadenosine 50-phosphosulfate (PAPS) by PAPS synthase (PAPSS) in the cytosol. Through a PAPS transporter (PAPST), PAPS moves to Golgi apparatus where it is used as sulfate donor by sulfotransferases to sulfate GAGs. This reaction also produces phosphoadenosine phosphate (PAP), that is hydrolyzed into AMP and phosphate by a Golgi resident phosphoadenosine phosphate phosphatase (gPAPP). Once synthesized, PGs are secreted in extracellular space.Sulfation of GAGs is an important step in PG synthesis determining PG properties. Inorganic sulfate enters in cells through a sulfate/chloride antiporter named SLC26A2, but a small amount of sulfate could be derived from sulfur-containing amino acid metabolism. To be used by Golgi sulfotransferases, sulfate is activated to 30-phosphoadenosine 50-phosphosulfate (PAPS), the universal sulfate donor, by PAPS synthase (PAPSS2). The by-product of sulfotransferase reactions, phosphoadenosine phosphate (PAP), is hydrolyzed by a Golgi resident phosphoadenosine phosphate phosphatase (gPAPP) in order to prevent feedback inhibition of these reactions.Linked with a dotted arrow to the GeneProduct nodes are skeletal dysplasias caused by mutation in the respective gene.For further details, see [https://www.ncbi.nlm.nih.gov/pubmed/31286677].	CHST3,CANT1,SLC35B3,XYLT2,PAPSS2,B3GAT3,CSGALNACT1,B4GALT7,CHSY1,EXTL3,IMPAD1,CHST14,EXT2,B3GALT6,SLC26A2,EXT1,XYLT1,SLC35B2
Prader-Willi and Angelman Syndrome	Prader-Willi syndrome	PCSK1,GABRA5,NIPA1,CDC6,PWRN1,IPW,ATP10A,SNORD107,PCM1,DLX5,GABRR2,SNORD116@,NHLH2,SNORD109B,GABRG3,SNRPN,GABRR1,MSX1,TUBGCP5,OCA2,GABRR3,NPAP1,SNURF,E2F1,CGA,SNORD64,SLC45A2,MDM4,CYFIP1,MAGEL2,MKRN3,PRKCZ,GABRB3,NGF,UBE3A,SNORD115@,ARF,GABA(A) receptor &#xA;subunit beta-3,NIPA2,HTR2C,FSHB,HERC2,SNORD109A,LHB,GABA(A) receptor&#xA;subunit delta,BBS4,NDN,MDM2,SNURF-SNRPN,GABA(A) receptor &#xA;subunit alpha-5,FEZ1
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway	TNF related weak inducer of apoptosis (TWEAK) is a small pleiotropic cytokine of the TNF super family and its gene is located at chromosome 17p13.1. TWEAK has been reported to be expressed in tissues that include heart, brain, kidney and also in mononuclear blood cells. The multiple biological activities of TWEAK include stimulation of cell growth and angiogenesis, induction of inflammatory cytokines, and stimulation of apoptosis. It has been shown to be involved in the induction of cellular proliferation in liver cells, osteoblasts, astrocytes, synoviocytes, kidney cells and skeletal muscles. Furthermore, TWEAK plays a substantial role in cellular differentiation in osteoclasts. TWEAK induces glioma cell survival via imparting resistance to cytotoxic agents. It imparts its downstream signaling events by binding to its receptor, FGF inducible 14 protein (Fn14). Two modes of TWEAK-Fn14 (ligand-receptor) interactions have been proposed (i) the ligand dependent interaction which involves the higher concentration of homotrimeric TWEAK, that binds to low concentration of Fn14 in a heterohexameric complex (ii) ligand-independent interaction when the ligand concentration is lower than the receptor concentration which induces the ligand independent interaction. The receptors homotrimerize to activate the downstream events. The signaling cascades reported under TWEAK-Fn14 interactions are the canonical and noncanonical NF-κB pathways and the MAPK pathway. There has been a report on crosstalk between Wnt and TWEAK pathways. In myoblasts the PI3K-AKT module has been reported to be inhibited under TWEAK stimulus. AKT phosprorylation leads to the activation of GSK3β resulting in increase of phospho-GSk3β and active β-catenin1 (CTNNB1) (dephosphorylated) levels. GSK3β and β-catenin1 remain associated in the cytoplasm, phosphorylation of GSK3β leads to the dissociation of β-catenin1 (dephosphorylated) resulting in the nuclear translocation of the protein. Despite of reports on TWEAK binding to other receptors including CD163 and DR3 the downstream events following the binding is yet to be established. The data provided by us would foster enormous avenues for further studies on TWEAK associated proteins and the related disorders such as cancer and autoimmune diseases. The data would enable therapeutic studies by selecting the pathological events and the simultaneous production of blocking agents. Despite the minimal amount of data, ours can also be used in the overlay of various high throughput data enabling pathway analysis and can be accessed by any pathway resource to generate a customized pathway.Please access this pathway at [http://www.netpath.org/netslim/tweak_pathway.html NetSlim] database.If you use this pathway, please cite Bhattacharjee2012 paper (see below).Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP2036 CPTAC Assay Portal].	
Hepatitis C and Hepatocellular Carcinoma	Pathway model based on hub miRNAs and their putative targets from network analysis* From a set of differentially expressed genes in both chronic HCV (hepatitis C virus) and HCC (hepatocellular carcinoma) samples, a protein-protein network was constructed using STRING (http://string-db.org/) and GeneMANIA (http://genemania.org/)* After topological analysis and network visualization in Cytoscape, the top hub genes were identified* miRNAs related to hub genes were identified using miRTarBase server and combined with the PPI network to constructed a miRNA-Hubgene network.Based on Figure 4 from Poortahmasebi et al, How Hepatitis C Virus Leads to Hepatocellular Carcinoma: A Network-Based Study. Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP3646 CPTAC Assay Portal]	LEF1,NFKB1,MIR34A,PTPN11,JAK1,MIR155,VEGFA,BIRC3,NOS2,CASP3,FRZB,PTGS2,MMP1,VAV2,TGFBR1,MYOF,CASP7,MIR92A1,MIR24-1,HIF1A,CD44,MYC,PODXL,GRB2,CCND1,CASP9,MIR24-2,TP53,E2F2,MAPK3,BRCA1,CTTN,MAPK14,SOS1,BCL2L1,CXCR1,UCHL1,RRM2,BIRC5,CDKN1A,IL8,SMAD4,TGFB1,AKT1,HNF1A,IL6R,IL6,FASLG,MIR744,RAC1,TNFSS10,SMAD3,COL4A2,JUN,MAPK8,MIR92A2,STAT3
Sphingolipid Metabolism (integrated pathway)	New PW, homology converted	
